GSE_ID,GPL_ID,SRR_ID
GSE47370,GPL13112,SRR867428 SRR867429 SRR867430
GSE47484,GPL11002,SRR869298 SRR869299
GSE33693,GPL13112,SRR345621 SRR345622 SRR345623 SRR345624 SRR515091 SRR515092 SRR515093 SRR515094 SRR515095 SRR515096 SRR515097 SRR515098 SRR515099 SRR515100 SRR515101 SRR515102 SRR870236 SRR870237 SRR870238 SRR870239 SRR870240 SRR870241
GSE33912,GPL11002,SRR869678 SRR869679 SRR869680 SRR869681 SRR869682 SRR869683 SRR869684 SRR869685 SRR869686 SRR869687 SRR869688 SRR869689 SRR869690 SRR869691 SRR869692 SRR869693 SRR869694 SRR869695 SRR869696 SRR869697 SRR869698 SRR869699 SRR869700 SRR869701
GSE47757,GPL9250,SRR891321
GSE47793,GPL13112,SRR891754 SRR891755 SRR891756
GSE47858,GPL13112,SRR899523 SRR899524 SRR899525 SRR899526 SRR899527 SRR899528 SRR899529 SRR899530 SRR899531 SRR899532 SRR899533
GSE47858,GPL9185,SRR899522
GSE47885,GPL13112,SRR899616 SRR899617
GSE48243,GPL13112,SRR921473 SRR921474 SRR921475 SRR921476 SRR921477 SRR921478 SRR921479 SRR921480 SRR921481 SRR921482 SRR921483 SRR921484 SRR921485
GSE48305,GPL11002,SRR922198 SRR922199 SRR922200
GSE48387,GPL13112,SRR923879 SRR923880
GSE48388,GPL9522,SRR923753 SRR923754
GSE48404,GPL15103,SRR923859 SRR923860 SRR923861 SRR923862 SRR923863 SRR923864 SRR923865 SRR923866 SRR923867 SRR923868 SRR923869 SRR923870 SRR923871 SRR923872 SRR923873 SRR923874 SRR923875 SRR923876 SRR923877 SRR923878
GSE48649,GPL13112,SRR927492 SRR927493 SRR927494 SRR927495
GSE44262,GPL13112,SRR933553 SRR933554 SRR933555
GSE48878,GPL13112,SRR934993 SRR934994 SRR1014802 SRR1014803
GSE48962,GPL11002,SRR935873 SRR935874 SRR935876 SRR935877 SRR935878 SRR935879 SRR935880 SRR935881 SRR935882 SRR935883 SRR935884 SRR935885 SRR935887 SRR935888 SRR935889 SRR935890 SRR935891 SRR935892 SRR935894 SRR935895 SRR935896
GSE48962,GPL13112,SRR935875 SRR935886 SRR935893
GSE49027,GPL13112,SRR941554 SRR941555
GSE49233,GPL13112,SRR943113
GSE49434,GPL13112,SRR946814 SRR946815
GSE49457,GPL13112,SRR947000
GSE49459,GPL13112,SRR947002
GSE49538,GPL17021,SRR947892 SRR947893
GSE49668,GPL11002,SRR949477 SRR949478
GSE49668,GPL13112,SRR949479 SRR949480
GSE50132,GPL13112,SRR955628 SRR955629 SRR955630 SRR955631 SRR955632 SRR955633 SRR955634
GSE50179,GPL11002,SRR956964 SRR956965 SRR956966 SRR956967 SRR956968 SRR956969 SRR956970 SRR956971 SRR956972 SRR956973 SRR956974 SRR956975 SRR956976 SRR956977 SRR956978 SRR956979 SRR956980 SRR956981
GSE50445,GPL13112,SRR959438 SRR959439
GSE50595,GPL13112,SRR966076 SRR966077 SRR966078 SRR966079 SRR966080 SRR966081 SRR966082 SRR966083 SRR966084 SRR966085 SRR966086 SRR966087
GSE51014,GPL9250,SRR997336 SRR997337 SRR997338 SRR997339 SRR997340 SRR997341
GSE51299,GPL17021,SRR1005383
GSE51374,GPL11002,SRR1012598 SRR1012599 SRR1012600 SRR1012601 SRR1012602 SRR1012603
GSE51393,GPL13112,SRR1012896 SRR1012897 SRR1012898 SRR1012899 SRR1012900 SRR1012901 SRR1012902 SRR1012903 SRR1012904 SRR1012905 SRR1012906 SRR1012907
GSE51765,GPL13112,SRR1019228 SRR1019229 SRR1019230
GSE51933,GPL17021,SRR1022281 SRR1022282 SRR1022283 SRR1022284
GSE52023,GPL16331,SRR1023690 SRR1023691 SRR1023692 SRR1023693 SRR1023694 SRR1023695 SRR1023696 SRR1023697
GSE52038,GPL11002,SRR1023803 SRR1023804
GSE52043,GPL17021,SRR1023831 SRR1023832 SRR1023833 SRR1023834 SRR1023835 SRR1023836 SRR1023837 SRR1023838 SRR1023839
GSE52045,GPL17021,SRR1023840 SRR1023841 SRR1023842 SRR1023843 SRR1023844 SRR1023845
GSE52261,GPL13112,SRR1028340 SRR1028341 SRR1028342
GSE52310,GPL9250,SRR1028900 SRR1028901 SRR1028902 SRR1028903
GSE52313,GPL9250,SRR1028904 SRR1028905 SRR1028906 SRR1028907 SRR1028908 SRR1028909 SRR1028910 SRR1028911
GSE52332,GPL13112,SRR1029078 SRR1029079
GSE52396,GPL13112,SRR1029924 SRR1029925
GSE52402,GPL13112,SRR1030030 SRR1030031
GSE52450,GPL13112,SRR1030716 SRR1030717
GSE52528,GPL13112,SRR1033824 SRR1033825 SRR1033826 SRR1033827 SRR1033828 SRR1033829 SRR1033830 SRR1033831 SRR1033832 SRR1033833 SRR1033834 SRR1033835
GSE52528,GPL9250,SRR1033836 SRR1033837
GSE52279,GPL13112,SRR1036618 SRR1036619 SRR1036620 SRR1036621 SRR1036622 SRR1036623 SRR1036624 SRR1036625 SRR1036626 SRR1036627 SRR1036628 SRR1036629 SRR1036630 SRR1036631 SRR1036632 SRR1036633 SRR1036634 SRR1036635 SRR1036636 SRR1036637 SRR1036638
GSE52662,GPL13112,SRR1036419 SRR1036420 SRR1207291 SRR1207292 SRR1207293 SRR1207294 SRR1207295 SRR1207296 SRR1207297 SRR1207298
GSE52868,GPL13112,SRR1041272 SRR1041273 SRR1041274
GSE52950,GPL13112,SRR1042101 SRR1042102 SRR1042103 SRR1042104 SRR1042105 SRR1042106
GSE52950,GPL9250,SRR1042095 SRR1042096 SRR1042097 SRR1042098 SRR1042099 SRR1042100
GSE53035,GPL17021,SRR1043758 SRR1043759 SRR1043760 SRR1043761 SRR1043762 SRR1043763 SRR1043764 SRR1043765 SRR1043766
GSE53090,GPL13112,SRR1044664 SRR1044665
GSE53207,GPL13112,SRR1047460 SRR1047461 SRR1047462
GSE53214,GPL13112,SRR1047549 SRR1047550
GSE53387,GPL11002,SRR1051340 SRR1051341 SRR1051342 SRR1051343
GSE53387,GPL13112,SRR1051313 SRR1051314 SRR1051315 SRR1051317 SRR1051318 SRR1051320 SRR1051321 SRR5819682 SRR5819683
GSE53427,GPL13112,SRR1052586 SRR1052587 SRR1052588 SRR1052589 SRR1052590 SRR1052591 SRR1052592 SRR1052593 SRR1052594 SRR1052595 SRR1052596 SRR1052597
GSE53737,GPL17021,SRR1066805 SRR1066806 SRR1066807 SRR1066808 SRR1066809 SRR1066810 SRR1066811 SRR1066812 SRR1066813 SRR1066814 SRR1066815 SRR1066817 SRR1066818 SRR1066819 SRR1066820 SRR1066821 SRR1066822 SRR1066823 SRR1066824 SRR1066825 SRR1066826 SRR1066827 SRR1066828
GSE53780,GPL16331,SRR1067926 SRR1067927
GSE54145,GPL13112,SRR1121544 SRR1121545 SRR1121546 SRR1121547 SRR1121548
GSE54226,GPL13112,SRR1135122 SRR1135123
GSE54231,GPL11002,SRR1137236 SRR1137237 SRR1137238
GSE54287,GPL9250,SRR1140984 SRR1140985 SRR1140986 SRR1140987 SRR1140988 SRR1140989 SRR1140990 SRR1140991
GSE54291,GPL13112,SRR1272017 SRR1272018 SRR1272019 SRR1272020
GSE54302,GPL13112,SRR1139350 SRR1139351
GSE54411,GPL16173,SRR1145040 SRR1145041
GSE54515,GPL16417,SRR1146664 SRR1146665
GSE54586,GPL13112,SRR1151597 SRR1151598
GSE54932,GPL11002,SRR1168321 SRR1168322
GSE54950,GPL13112,SRR1168398 SRR1168399 SRR1168400 SRR1168401
GSE54952,GPL13112,SRR1174044 SRR1174045
GSE54984,GPL11002,SRR1168512
GSE54984,GPL13112,SRR1168513 SRR1168514
GSE55164,GPL13112,SRR1171808 SRR1171809 SRR1171810 SRR1171811 SRR1171812 SRR1171813 SRR1171814 SRR1171815 SRR1171816 SRR1171817 SRR1171818 SRR1171819
GSE55376,GPL17021,SRR1176987 SRR1176988 SRR1176989 SRR1176990 SRR1176991 SRR1176992
GSE55426,GPL13112,SRR1182260 SRR1182261
GSE54365,GPL13112,SRR1182691 SRR1182692 SRR1182693 SRR1182694 SRR1182695 SRR1182696
GSE55600,GPL13112,SRR1183624 SRR1183625
GSE55775,GPL11002,SRR1187072 SRR1187074
GSE55775,GPL13112,SRR1187073 SRR1187075
GSE55789,GPL13112,SRR1187095 SRR1187096 SRR1187097 SRR1187098 SRR1187099 SRR1187100
